"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW2";"SW_Push_2P1T_Toggle_CK_PVA1xxH1xxxxxxV2";1;"SW_DPST";;;
2;"PC3";"CP_Elec_3x5.3";1;"250u";;;
3;"C1";"C_Trimmer_Murata_TZR1";1;"12-120 pF";;;
4;"R1";"R_0402_1005Metric";1;"100k";;;
5;"AE1";"MountingHole_2.2mm_M2_DIN965_Pad";1;"Antenna";;;
6;"U3";"SOT-223-3_TabPin2";1;"NCP1117-5.0_SOT223";;;
7;"L1";"L_6.3x6.3_H3";1;"700u";;;
8;"R4";"R_0402_1005Metric";1;"220";;;
9;"J2";"IDC-Header_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
10;"C4";"C_0504_1310Metric";1;".05u";;;
11;"C2";"C_0504_1310Metric";1;"4.7n";;;
12;"C6,C5";"C_0504_1310Metric";2;"220p";;;
13;"RV1,RV2";"Potentiometer_ACP_CA6-VSMD_Vertical";2;"10K Pot";;;
14;"U1";"DIP08";1;"LM386";;;
15;"R2";"R_0402_1005Metric";1;"10";;;
16;"J3";"PinSocket_1x16_P2.00mm_Vertical";1;"HD44780 16x2 LCD";;;
17;"PC1,PC2";"CP_Elec_3x5.3";2;"47u";;;
18;"D1";"D_SOD-523";1;"1N4148WT";;;
19;"ST171";"PS12";1;"Speaker";;;
20;"Y1";"Crystal_AT310_D3.0mm_L10.0mm_Horizontal";1;"16MHz";;;
21;"U2";"DIP-28_W7.62mm";1;"ATmega328-P";;;
22;"D2";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
23;"J1";"BarrelJack_CUI_PJ-079BH_Horizontal";1;"Barrel_Jack_Switch";;;
24;"C3";"C_0504_1310Metric";1;"100n";;;
